Throughput: {} Gel/s 7.433404721770045
==32304== NVPROF is profiling process 32304, command: python C:\Documents\Programming\Python\MLPlayGround\large_softmax.py
==32304== Profiling application: python C:\Documents\Programming\Python\MLPlayGround\large_softmax.py
==32304== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream  Name
2.67172s  4.9716ms             (80 1 1)       (256 1 1)        48        0B        0B  NVIDIA GeForce          1         7  _ZN2at6native54_GLOBAL__N__1168ccc1_21_DistributionNormal_cu_17e44f7d43distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIffLy4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS7_EEvRKNS_10TensorBaseEddT_ENKUlvE_clEvENKUlvE2_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP24curandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIffLi4ES7_SM_SF_EEvSH_SI_RKSJ_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SI_ [1160]
2.68420s  9.7322ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1173]
2.69543s  8.2802ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1186]
2.70371s  8.2607ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1195]
2.71198s  8.2802ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1204]
2.72026s  8.2750ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1213]
2.72854s  8.2904ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1222]
2.73684s  8.5003ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1231]
2.74534s  8.2914ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1240]
2.75364s  8.2730ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1249]
2.76192s  8.2976ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1258]
2.77022s  8.2668ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1267]
